Country,HDI Score,Life Expectancy,Mean Years of Schooling,Expected Years of Schooling,GNI per Capita,Indicator_1,Indicator_2,Indicator_3,Indicator_4,Indicator_5,Indicator_6,Indicator_7,Indicator_8,Indicator_9,Indicator_10,Indicator_11,Indicator_12,Indicator_13,Indicator_14,Indicator_15,Indicator_16,Indicator_17,Indicator_18,Indicator_19,Indicator_20,Indicator_21,Indicator_22,Indicator_23,Indicator_24,Indicator_25,Indicator_26,Indicator_27,Indicator_28,Indicator_29,Indicator_30,Indicator_31,Indicator_32,Indicator_33,Indicator_34,Indicator_35,Indicator_36,Indicator_37,Indicator_38,Indicator_39,Indicator_40,Indicator_41,Indicator_42,Indicator_43,Indicator_44,Indicator_45,Indicator_46,Indicator_47,Indicator_48,Indicator_49,Indicator_50,Indicator_51,Indicator_52,Indicator_53,Indicator_54,Indicator_55,Indicator_56,Indicator_57,Indicator_58,Indicator_59,Indicator_60,Indicator_61,Indicator_62,Indicator_63,Indicator_64,Indicator_65,Indicator_66,Indicator_67,Indicator_68,Indicator_69,Indicator_70,Indicator_71,Indicator_72,Indicator_73,Indicator_74,Indicator_75,Indicator_76
Afghanistan,0.5859602748738384,73.10740324911332,10.388346674823937,11.605121209639522,500.0,-12.73097963037123,18.665048254837345,11.371870790589242,61.024273195438376,99.59335670560688,-0.7848650658893703,58.630035484294766,12.168898191876288,67.46864226501165,68.53763523897214,51.68620453355062,84.61209438765874,51.91205822135551,19.167393352971054,24.34268891306682,45.8554627263457,74.34051359742048,69.63095969662857,19.104654632316148,14.26446840310198,12.912382726467044,88.66581972590048,46.2230860977929,78.92944096414996,75.46496970302945,4.7856322397507896,62.62884023297372,68.702651304249,57.09646064369666,54.39867108299234,56.698990363421075,28.15561507859272,44.4695129974592,7.335778951543226,33.18845307925362,80.70993015059564,2.442632337298427,82.68445728069554,65.86204919089725,76.24175995696278,38.8074654057236,-19.91400620384065,6.465543492189724,-5.672422221130859,51.89170429196666,13.99510006125088,65.0318905177985,31.928222513125124,8.897646995910769,75.30000835519502,74.03648311515192,3.924037323550749,54.300195370087096,97.74167846815052,84.55344793913525,41.23829624839391,70.32062274886067,87.86113341510894,-7.6926444717723825,77.38918760430745,-6.73882435175938,12.241409782810173,46.11625901588931,17.748689759435123,36.904590442942315,73.42145585799175,26.886962755855404,66.75112479832856,12.853278457844777,60.14080615913295,50.19708441861228,43.88875391689848,64.70958779702644,44.704201968807624,70.1738209760068,24.472857710774047
Albania,0.9489500130382472,81.47895814423956,14.829036653297619,18.150571139577664,38810.316699942014,0.4676181555096548,20.958239410822564,-16.412422317126747,101.05992672524982,121.5985682998304,-36.08507572718432,60.50067022461147,-15.758979072190453,52.888818188392605,60.256282834412275,29.17659532779666,105.8423046806334,-12.799477712132592,-7.412171972685179,16.472744366634316,32.19932832794549,137.41438137259212,79.03108149506797,-23.131566536559305,-31.589062070172744,28.973921749874133,106.36848432854765,51.34667312489868,103.20682282677826,68.88290898274971,5.596639645940442,92.08942200939345,46.30331804730047,121.25734128950046,54.75294620246807,96.99435190546406,55.722520567819906,45.991047045212206,-11.728699344461798,60.57855391391189,101.56760615914098,2.3222201488493397,84.34720916288471,57.95878649446067,60.92102146752183,19.173863219489554,-21.12196244559997,5.818224611569718,-11.050344976772571,-5.029270128617249,-12.747452892196655,86.01206864560613,25.210006395633844,-41.16055596980593,115.05762504092533,103.11733228413371,-13.913373728563244,41.648422708246216,104.43807632905458,111.30133349245519,44.00483485079781,123.3658524076314,114.99981081925297,-19.81330598831544,81.05097911444645,-12.042266927162103,-37.31683797007915,65.74261378799355,-34.158155129497715,27.470473832277122,60.3130731334923,48.82715898329322,74.23206228668718,6.308312068745536,-0.35757462069319956,6.115209392935039,17.871275048767785,54.91135584686629,79.76553966759833,83.78840151449856,-6.638006941855949
Algeria,0.8111561833411851,79.62574810796377,12.63390338956715,17.148228217849336,7391.340615613561,-12.084025728074806,59.813201120212696,-0.2538817651569687,104.40136082220157,89.28022051725426,-20.386292221664384,62.68365180519621,-7.886372225001466,72.67999911578409,88.59974972372623,32.60227262671265,103.75527706170186,3.908626428346082,24.75308491567902,9.52843977424699,27.84408813891558,104.80545950964222,63.088555592432954,14.245918355531373,-16.518006787345648,16.26450465541691,121.43035361403555,-0.026663356169905228,102.88247145901855,77.78426603674885,-20.709754455088124,80.1409391452593,49.952291706217906,102.50988445577622,65.11662916134681,87.73546499364952,47.05113743042358,27.83205155529179,17.688849281745284,41.95688909395945,108.32457589936305,-18.992125593808737,99.24724409508343,79.25897617287625,59.89473861545375,-3.817363454683303,-9.501318652778288,-22.506782906726322,3.479363199021485,2.2028194599625124,20.637434739515257,81.86448374341155,37.11030232436971,-26.165847809928806,89.37008468746185,125.60617160205858,10.420197286848307,20.936681947692175,103.71832901931081,75.21442262499482,49.88608433612219,106.21167558897213,81.25810403529124,-3.914771004079256,41.64012369422168,-14.726127615586208,9.970879318887512,69.01956990803683,-8.498655671279934,10.757144278961125,58.25325348131712,19.148305527251463,80.79990202439788,17.239366560088918,14.251192259006107,15.569778742825122,36.543796263770474,38.5694797526678,63.578773412127475,98.43044192607468,32.57425285870505
Andorra,0.727154845044133,77.88456117050487,10.007403013101646,15.723871439851777,3667.736684329698,12.209337744767758,14.629329127684024,16.934631768950254,90.48355141468105,114.08069386085504,-0.5486584708436908,69.2748600596009,30.41594216289215,49.081239689848225,78.99724584688053,15.883639346729073,100.8690515899597,19.78888480841198,4.562610597983422,41.05627731369876,29.474934674517556,103.97925113115636,58.21391180633945,3.622716229429237,14.438572966400258,43.43773251862423,125.89627629351494,31.77004010712753,87.58517768057045,59.92021739944425,-15.04547087893991,94.93553124926352,61.662049026671326,115.29355782140597,77.26376439408769,79.61539867265864,48.168291055879564,57.86993870595766,0.42022597332508127,46.00816578799162,111.25096678737279,-13.095564310469705,88.67475214591985,22.571429880092346,65.3223044196598,-4.578525309135117,4.089009599509488,-29.488597158739775,24.925749489669535,3.7919555713449355,-5.174838333279375,66.78652805173662,38.70193759221084,4.114509096647502,74.63417782250725,94.1161649558789,-24.846699220075106,38.411998507506084,101.89327099403837,97.88832956261892,29.25908922607617,99.01115440501555,75.45380820793119,4.919618844727893,89.42530967222336,4.129621403912871,10.631559505607555,25.287068925385782,2.879350126350758,43.25126936281124,65.8465133343587,55.15229556618614,78.79127662758621,26.174935068658247,26.613082122021098,37.101460555665966,32.60113424805178,78.19843294032638,58.20627285404112,71.00011390562439,46.797597739044626
Angola,0.448291743478735,66.14278756075348,6.9836557517058155,11.66071197503851,996.6205321406493,21.510685085032208,37.99977220047144,32.84795635942524,97.59219973253244,71.42372783247208,25.68080822262053,39.111286874930556,42.20402240232552,51.668649402608736,48.81028500419,19.84122367807144,72.78920559650174,26.71515082896219,51.09878612568316,38.342672202410576,71.57235032903293,99.75067949054576,72.93536678715725,39.96988722425707,36.72958995583897,51.911101503171714,91.87148578979402,26.150920421273543,63.569097717811516,79.80645395648249,35.762465880200835,64.94663358397625,41.0942582490503,64.80570058518359,88.20247770397745,78.9224173440833,56.712730958727334,39.10019998829942,31.24905356992835,40.15897607591654,63.27824863424995,49.76172996727366,68.89498619926043,85.7403948978573,28.476163956422134,34.47071754033936,1.9582458326331817,26.98846203254437,8.59224946466962,19.36015821446042,28.235915795319833,53.39589077679281,1.0900265786911252,0.5045729777080084,105.5786463163108,75.14644604254966,7.230688490127111,20.52859759650378,102.58814757696277,73.38314036665446,44.44619997684062,84.71281874852252,57.40432085229874,-19.33307772990738,63.469424643211184,32.5155348891702,-5.884194474630789,73.4087717587315,-4.585452956611647,44.942663870308586,46.08006150123398,64.43185590232147,68.84773915476664,26.130663073488243,21.21634406110566,50.79244967118832,32.07772310010561,30.807385805144765,71.44825613124843,88.44627574406441,38.247125871704654
Antigua and Barbuda,0.44827654781180765,67.38448203856655,7.484393884922332,12.752558860064124,1853.6575111962875,23.222243133523016,23.155884565468444,-3.667760996055641,60.0626016103463,91.58304777515038,32.693930917628734,73.53807323031694,37.645534641457985,53.50253412004935,46.04941434635757,47.50991462522036,75.20630601689453,12.789931732805066,45.12743312499319,32.57398576745413,31.34302819303241,65.7490135709138,60.60027611704863,26.773359753200815,9.66217356240217,57.61352457404521,105.25673837480582,44.04891977970412,64.39306477036301,80.14578803776425,0.7263915704615584,79.21300262581579,29.886327682407188,71.99393427584513,70.93121968860032,61.02596473546744,76.26635663732404,47.1195125926065,48.227624077830484,41.22770419483211,92.71005984790644,32.615626450236206,79.184556495613,29.369740698803174,78.33920906153907,36.54847739803689,36.72159479079128,22.916434174768632,30.559780587904413,-14.477331823676117,19.14474971714135,77.60498303904185,28.200473302844415,23.813856844746837,85.99152168065957,63.75078202716026,3.56677486537372,53.3531196298559,99.00555530690154,82.95721905129113,46.489558655425945,79.7965303144958,91.06309850317898,-3.7074180244031645,39.53514865591901,37.12956303170763,12.258090151997457,50.194222342711186,29.588165812014303,19.982887896647398,44.9861303549533,10.81102918955968,56.244413367531536,18.175561518008198,73.50591717113883,55.02387445529887,63.39863762479233,52.64221038824683,16.569274620227976,92.03924086211752,51.4425512275118
Argentina,0.38659267566596567,63.88040967229174,7.483381238086393,10.065631891289852,500.0,29.54488849528247,34.563170241673845,-15.383182611023358,72.28050324636177,80.9174274408061,-4.732493469109183,66.61507313039822,32.46869219780908,71.47510131938712,67.7962004281108,48.63552247910269,75.15600251395797,47.44503518418314,34.50581617999458,12.922916415478854,62.88307065418217,85.86361478153157,79.01683901988028,35.88356397401782,12.77773665969421,26.007175159312784,78.96489310728641,12.67695711488352,75.0788071372272,40.77394284796911,22.611665721036122,101.55586365737999,72.37962856520137,54.37859338990114,75.79948709536674,51.94021630060975,76.18658338171545,29.928873201687953,45.175406553952655,92.73075544348895,88.16583965305375,-13.418352454930716,81.53389899750137,44.87034758388155,63.1539360940351,36.18634947710163,29.371788780896857,7.034037408115804,33.85264301993202,35.983527817569666,64.4668102708147,77.41241832101241,57.04065864238231,-0.08711391624132503,71.60839884788602,45.61760470133639,7.083574795844822,39.99848868167153,83.1665769344953,69.39388331944456,34.79034087585547,100.0180443537952,58.80823980635044,16.11505227986076,71.03559599180157,38.24632086551238,3.503200628277874,36.58809356629708,36.1273751858803,50.51189654425286,44.78715208935571,42.82602446221619,89.8130351352166,59.194224722912494,54.53826650412826,27.336209451737666,48.95121104377635,53.32007654667039,59.13472748258515,55.95536410845328,45.10198842861793
Armenia,0.8956909718382091,78.91547422961884,13.713635298415598,18.444785009624326,19497.050837178787,-10.477806633817913,37.66585764434405,1.286593114278844,106.5014748708186,136.4404551975231,-15.971715516171287,74.40615906143765,-29.544354947718432,79.61933352846837,72.28608014153113,38.483220019559816,108.38049175013714,39.89280653299594,9.36429901456092,-5.738025546883751,17.928035113851838,103.54820482642492,68.71131926170449,-10.811877849539393,-20.170442467396988,31.165094055399855,140.27644814382978,-4.310425008228059,100.90297894114599,108.76487792728591,-9.615140669517494,86.60193420129511,30.429601450779863,97.43703947019063,77.2735972457149,96.16720013636223,53.039331158605634,20.97202194640443,10.406286805433119,67.07372399109826,110.47070241550526,-22.5214126730599,89.78220699717525,59.294953841610536,82.92321486935262,-26.122803417698563,-2.7592260178982,-37.44709292005233,-51.66123104011707,-9.23415336632415,-57.75911696897938,93.19213516306519,31.146097785420633,8.019641172781661,96.0136903341537,103.2888261616171,-6.156700442549955,23.259054077932138,137.69032243608066,107.90991468036896,24.979813310244673,96.42037373979366,114.42114918985664,-9.338310665897176,101.36807489462917,-10.130976955443657,-58.704837731997536,79.32474339407182,6.606000227762294,27.960365917392533,42.19918451032872,24.172713635251714,95.48254793365852,48.88229269974569,50.997375715880324,32.3991336110097,23.181398397479978,64.44580882448763,76.95958647238831,91.56336980369915,4.861110385527866
Australia,0.7287024573982215,77.60328079357949,12.456636252535345,15.064723265647295,2210.6725498732967,4.974642039240777,27.3927875388243,-21.53662724838814,87.78070113826854,94.54068645894793,-18.19739498988048,67.66876572697453,13.34423348037393,44.20315007924648,100.28376814937148,13.598955542438151,100.1885743130533,16.40657253817728,17.024462472713502,24.926172215927377,45.0825991801938,98.78114519470554,65.5043432165372,3.3712890182756396,-23.205344650056688,38.362291319965706,133.0000157886208,9.587010654851507,81.97874644501124,118.99221753120204,6.699020399759426,73.21907564387259,55.24142442950365,83.11919417345672,57.68117953511519,92.01835996483624,56.951392807180206,48.872968595171216,3.9540511056036394,70.11135425106752,87.55095913235235,-29.28257595251421,72.43532890173705,55.86417110682118,87.27825928401977,-0.35552765163382105,-14.821035696935446,20.58533644557972,-12.979148484403822,-12.02608678883309,-11.608176038425817,100.50113476089021,12.137516911505408,-17.30477988526109,90.76855606325302,100.18920560622897,8.970229548190893,14.883467103297576,69.50875489265756,84.64748401552913,39.296636420907696,95.8890741985085,92.4266875076013,2.080464899761502,57.97717072943169,5.553215116086683,-21.98270516773591,62.01902678374881,37.370721791535324,78.50372884294751,71.13035526572799,-9.811541118228678,79.82683038163265,21.809597075166447,32.01963219162794,21.415562110157637,30.863514765894482,63.13723113020908,58.57791641249629,86.32813635269287,6.111197668348332
Austria,0.7960857240115087,80.5132116634312,12.822741799877177,17.32570010264478,3475.5409922811878,10.216093857393851,53.12010289966098,-9.124001155015002,54.40679706652212,97.08156990376635,-9.423377539254417,62.411524792404556,17.994410668696865,64.90476262557007,89.3988960416493,16.687176205574502,94.17021656898334,-3.474859610432297,11.749781653636987,-13.986257710595869,41.08880544998433,106.54199848681408,64.03121407308943,1.837361517072651,-22.7430493103438,19.80941654160253,81.00599075057369,19.748775798011636,50.449207495306666,85.13676364680819,-12.118240689896965,85.3945098665671,73.70413145354259,120.49053980341046,79.39415787574652,71.92921982316096,44.274102341742235,30.836992418060895,18.286320382371635,61.29672079310013,113.87098743633999,-21.181047030084713,67.5951449273576,73.90298434829894,53.18402866314795,8.748438180697356,-24.753675971553086,13.883610441186683,-24.453950892382213,19.923664637157174,4.265632644046896,72.21278850546578,47.52348438057862,-14.19546301891208,86.7603460239769,115.99023695333452,11.4952398623765,-5.472785942425659,111.29381150222055,61.92876235555005,51.94002017251942,68.90912336924058,110.44332411969766,-3.28971893780254,70.7427796960159,6.748733596143339,-6.911826068300847,81.75994440520329,4.202177224092395,28.51272178188722,50.890729373542484,10.703940381251549,73.60484329435334,5.503072893918933,33.112877432831695,17.325658551193534,22.55044191811804,65.83754784163702,55.621701647018384,102.67478512099251,-11.252843741522629
